epoch,train_loss,train_acc,val_loss,val_acc
1,3.1715594359806607,0.06643180674383492,3.177286222577095,0.02012072434607646
2,3.136614265896025,0.04831404126824358,3.1720627546310425,0.008048289738430584
3,3.1090951420011974,0.04026170105686965,3.1398091465234756,0.012072434607645875
4,3.0530357777126254,0.14494212380473076,3.040356010198593,0.30784708249496984
5,2.958011661257063,0.4524408656265727,2.937174931168556,0.6559356136820925
6,2.866203845493377,0.6844489179667841,2.860403597354889,0.7082494969818913
7,2.8083438192095076,0.7327629592350277,2.815406173467636,0.7565392354124748
8,2.7610639693245056,0.7871162556618017,2.7802746146917343,0.7847082494969819
9,2.7265585793389215,0.790135883241067,2.7510565519332886,0.7987927565392354
10,2.6953627041407993,0.8203321590337191,2.73515947163105,0.806841046277666
11,2.6706202408624073,0.844489179667841,2.7112859934568405,0.8148893360160966
12,2.6462983176821755,0.8580775037745345,2.7002633661031723,0.8209255533199196
13,2.6264997058444552,0.8751887267237041,2.680946111679077,0.8249496981891348
14,2.6061838959890697,0.883241066935078,2.670807898044586,0.8329979879275654
15,2.6020241654108442,0.8731756416708606,2.6616751700639725,0.8329979879275654
16,2.5709474730113198,0.9053850025163563,2.6472384929656982,0.8269617706237424
17,2.56470515236022,0.9038751887267237,2.6441616266965866,0.8269617706237424
18,2.55404936321198,0.9068948163059889,2.6309181600809097,0.8189134808853119
19,2.5367039915115113,0.9124308002013085,2.6204463243484497,0.8269617706237424
20,2.5137340265607078,0.9229994967287368,2.6169198900461197,0.8329979879275654
21,2.5131056157369462,0.9164569703069955,2.609391525387764,0.8309859154929577
22,2.504582049354674,0.9265223955712129,2.602329969406128,0.8309859154929577
23,2.4918972348409985,0.9270256668344238,2.5930885821580887,0.8249496981891348
24,2.4848518977089533,0.9295420231504781,2.5877339243888855,0.8249496981891348
25,2.4682416423918707,0.945646703573226,2.583238363265991,0.8269617706237424
26,2.4681011343759205,0.9315551082033215,2.5763196796178818,0.8350100603621731
27,2.4545180040692527,0.9431303472571716,2.5687438398599625,0.8229376257545271
28,2.4493419745611766,0.9391041771514846,2.56761334836483,0.8269617706237424
29,2.4319023480491033,0.945646703573226,2.5642642229795456,0.8229376257545271
30,2.4352718080793108,0.9446401610468043,2.553779900074005,0.8269617706237424
31,2.4201209393758623,0.9451434323100151,2.548063814640045,0.8249496981891348
32,2.415363773467049,0.9501761449421238,2.5425131171941757,0.8269617706237424
33,2.4048417182195756,0.9577252138902869,2.541885405778885,0.8229376257545271
34,2.4056623436155773,0.9577252138902869,2.536404177546501,0.8209255533199196
35,2.3908376580192927,0.9602415702063413,2.53371199965477,0.8269617706237424
36,2.383316539582752,0.9672873678912934,2.5304232239723206,0.8309859154929577
37,2.3979302285209534,0.9557121288374434,2.5251623392105103,0.8289738430583501
38,2.3798386255900064,0.9642677403120282,2.521536633372307,0.8229376257545271
39,2.3770335969470797,0.9622546552591847,2.5191226452589035,0.8289738430583501
40,2.3729185263315835,0.9637644690488173,2.5252894312143326,0.8309859154929577
41,2.365191444518074,0.96527428283845,2.5148388743400574,0.8370221327967807
42,2.3669361803266735,0.961248112732763,2.5161182284355164,0.8249496981891348
43,2.3681782843574646,0.9677906391545043,2.513888493180275,0.8329979879275654
44,2.3558553135584273,0.9718168092601912,2.5141478031873703,0.8289738430583501
45,2.3665968879820807,0.9642677403120282,2.5127393901348114,0.8269617706237424
46,2.3562399924747526,0.9622546552591847,2.508360058069229,0.8350100603621731
47,2.359494954820663,0.968797181680926,2.508235365152359,0.8289738430583501
48,2.3504732222784135,0.9763462506290891,2.508499875664711,0.8329979879275654
49,2.3527676377977644,0.9682939104177152,2.5078936219215393,0.8329979879275654
50,2.351265063361516,0.9733266230498239,2.5080272257328033,0.8329979879275654
